Cód Insumo Representativo,Cód insumo,Descrição do Insumo,Unidade de  Cálculo,COEFICIENTE,CATEGORIA,MACRO CLASSE,VíNCULO
55,37419,"COLAR DE TOMADA EM POLIPROPILENO, PP, COM PARAFUSOS, PARA PEAD, 63 X 3/4"" - LIGACAO PREDIAL DE AGUA",UN,"4,0875000",REPRESENTADO,MATERIAL,NACIONAL CAIXA
55,37420,"TE DE SERVICO INTEGRADO, EM POLIPROPILENO (PP), PARA TUBOS EM PEAD/PVC, 60 X 20 MM - LIGACAO PREDIAL DE AGUA",UN,"9,6035714",REPRESENTADO,MATERIAL,NACIONAL CAIXA
55,37421,"TE DE SERVICO INTEGRADO, EM POLIPROPILENO (PP), PARA TUBOS EM PEAD/PVC, 60 X 32 MM - LIGACAO PREDIAL DE AGUA",UN,"13,1250000",REPRESENTADO,MATERIAL,NACIONAL CAIXA
55,37422,"TE DE SERVICO INTEGRADO, EM POLIPROPILENO (PP), PARA TUBOS EM PEAD, 63 X 20 MM - LIGACAO PREDIAL DE AGUA",UN,"12,2857142",REPRESENTADO,MATERIAL,NACIONAL CAIXA
55,37423,"UNIAO EM POLIPROPILENO (PP), PARA TUBO EM PEAD, 32 MM - LIGACAO PREDIAL DE AGUA",UN,"2,8214285",REPRESENTADO,MATERIAL,NACIONAL CAIXA
119,118,"PASTA VEDA JUNTAS/ROSCA, LATA DE *500* G, PARA INSTALACOES DE GAS E OUTROS",UN,"12,5033707",REPRESENTADO,MATERIAL,NACIONAL CAIXA
119,119,"ADESIVO PLASTICO PARA PVC, BISNAGA COM 75 GR",UN,,REPRESENTATIVO,MATERIAL,NACIONAL CAIXA
119,122,"ADESIVO PLASTICO PARA PVC, FRASCO COM 850 GR",UN,"9,0337078",REPRESENTADO,MATERIAL,NACIONAL CAIXA
119,20078,"PASTA LUBRIFICANTE PARA TUBOS E CONEXOES COM JUNTA ELASTICA (USO EM PVC, ACO, POLIETILENO E OUTROS) ( DE *400* G)",UN,"3,3078651",REPRESENTADO,MATERIAL,NACIONAL CAIXA
119,20080,"ADESIVO PLASTICO PARA PVC, FRASCO COM 175 GR",UN,"2,8674157",REPRESENTADO,MATERIAL,NACIONAL CAIXA
119,20083,"SOLUCAO LIMPADORA PARA PVC, FRASCO COM 1000 CM3",UN,"7,8449438",REPRESENTADO,MATERIAL,NACIONAL CAIXA
119,21114,"ADESIVO PARA TUBOS CPVC, *75* G",UN,"2,5348314",REPRESENTADO,MATERIAL,NACIONAL CAIXA
119,39719,ADESIVO LIQUIDO A BASE DE RESINAS PARA COLAGEM DE ESPUMA DE ISOLAMENTO TERMICO FLEXIVEL,L,"11,8304392",REPRESENTADO,MATERIAL,NACIONAL CAIXA
123,123,"ADITIVO IMPERMEABILIZANTE DE PEGA NORMAL PARA ARGAMASSAS E CONCRETOS SEM ARMACAO, LIQUIDO E ISENTO DE CLORETOS",L,,REPRESENTATIVO,MATERIAL,NACIONAL CAIXA
123,124,"ADITIVO ACELERADOR DE PEGA E ENDURECIMENTO PARA ARGAMASSAS E CONCRETOS, LIQUIDO E ISENTO DE CLORETOS",L,"2,4446792",REPRESENTADO,MATERIAL,NACIONAL CAIXA
123,127,"ADITIVO IMPERMEABILIZANTE DE PEGA ULTRARRAPIDA, LIQUIDO E ISENTO DE CLORETOS",L,"2,3878030",REPRESENTADO,MATERIAL,NACIONAL CAIXA
123,130,"ARGAMASSA POLIMERICA DE REPARO ESTRUTURAL, BICOMPONENTE",KG,"0,5704773",REPRESENTADO,MATERIAL,NACIONAL CAIXA
123,131,"ADESIVO ESTRUTURAL A BASE DE RESINA EPOXI, BICOMPONENTE, PASTOSO (TIXOTROPICO)",KG,"6,3386371",REPRESENTADO,MATERIAL,NACIONAL CAIXA
123,132,"ADITIVO PLASTIFICANTE RETARDADOR DE PEGA E REDUTOR DE AGUA PARA CONCRETO, LIQUIDO E ISENTO DE CLORETOS",L,"1,0283501",REPRESENTADO,MATERIAL,NACIONAL CAIXA
123,133,"ADITIVO LIQUIDO INCORPORADOR DE AR PARA CONCRETO E ARGAMASSA, LIQUIDO E ISENTO DE CLORETOS",L,"0,9918858",REPRESENTADO,MATERIAL,NACIONAL CAIXA
123,134,GRAUTE CIMENTICIO PARA USO GERAL,KG,"0,2357973",REPRESENTADO,MATERIAL,NACIONAL CAIXA
123,135,"ARGAMASSA POLIMERICA IMPERMEABILIZANTE SEMIFLEXIVEL, BICOMPONENTE (MEMBRANA IMPERMEABILIZANTE ACRILICA)",KG,"0,4589423",REPRESENTADO,MATERIAL,NACIONAL CAIXA
123,140,IMPERMEABILIZANTE FLEXIVEL BRANCO DE BASE ACRILICA PARA COBERTURAS,KG,"2,6295709",REPRESENTADO,MATERIAL,NACIONAL CAIXA
123,142,SELANTE ELASTICO MONOCOMPONENTE A BASE DE POLIURETANO (PU) PARA JUNTAS DIVERSAS,310ML,"4,7962354",REPRESENTADO,MATERIAL,NACIONAL CAIXA
123,151,"IMPERMEABILIZANTE INCOLOR PARA TRATAMENTO DE FACHADAS E TELHAS, BASE SILICONE",L,"3,8804320",REPRESENTADO,MATERIAL,NACIONAL CAIXA
123,153,"REVESTIMENTO EPOXI DE ALTA RESISTENCIA QUIMICA, ISENTO DE SOLVENTES, BICOMPONENTE",L,"13,4886198",REPRESENTADO,MATERIAL,NACIONAL CAIXA
123,154,"TINTA / REVESTIMENTO A BASE DE RESINA EPOXI COM ALCATRAO, BICOMPONENTE",L,"10,1397065",REPRESENTADO,MATERIAL,NACIONAL CAIXA
123,156,"ADESIVO ESTRUTURAL A BASE DE RESINA EPOXI, BICOMPONENTE, FLUIDO",KG,"7,4119797",REPRESENTADO,MATERIAL,NACIONAL CAIXA
123,157,"ADESIVO ESTRUTURAL A BASE DE RESINA EPOXI PARA INJECAO EM TRINCAS, BICOMPONENTE, BAIXA VISCOSIDADE",KG,"20,8160843",REPRESENTADO,MATERIAL,NACIONAL CAIXA
123,1375,CIMENTO IMPERMEABILIZANTE DE PEGA ULTRARRAPIDA PARA TAMPONAMENTOS,KG,"2,3558601",REPRESENTADO,MATERIAL,NACIONAL CAIXA
123,2692,"DESMOLDANTE PROTETOR PARA FORMAS DE MADEIRA, DE BASE OLEOSA EMULSIONADA EM AGUA",L,"0,9613600",REPRESENTADO,MATERIAL,NACIONAL CAIXA
123,11609,"SOLUCAO ASFALTICA ELASTOMERICA PARA IMPRIMACAO, APLICACAO A FRIO",L,"1,6892468",REPRESENTADO,MATERIAL,NACIONAL CAIXA
123,11622,SELANTE A BASE DE ALCATRAO E POLIURETANO PARA JUNTAS HORIZONTAIS,KG,"10,1640046",REPRESENTADO,MATERIAL,NACIONAL CAIXA
123,26026,SILICA ATIVA PARA ADICAO EM CONCRETO E ARGAMASSA,KG,"0,4035801",REPRESENTADO,MATERIAL,NACIONAL CAIXA
123,26028,POZOLANA DE CLASSE C,T,"48,7018619",REPRESENTADO,MATERIAL,NACIONAL CAIXA
123,34361,METACAULIM DE ALTA REATIVIDADE/CAULIM CALCINADO,KG,"2,3452957",REPRESENTADO,MATERIAL,NACIONAL CAIXA
123,39397,DESMOLDANTE PARA FORMAS METALICAS A BASE DE OLEO VEGETAL,L,"2,3822711",REPRESENTADO,MATERIAL,NACIONAL CAIXA
123,39961,SILICONE ACETICO USO GERAL INCOLOR 280 G,UN,"3,1693186",REPRESENTADO,MATERIAL,NACIONAL CAIXA
123,41315,"MEMBRANA IMPERMEABILIZANTE A BASE DE POLIUREIA, BICOMPONENTE, APLICACAO A FRIO",KG,"12,2546984",REPRESENTADO,MATERIAL,NACIONAL CAIXA
123,41373,ADITIVO LIQUIDO IMPERMEABILIZANTE CRISTALIZANTE,L,"3,3267281",REPRESENTADO,MATERIAL,NACIONAL CAIXA
123,42409,"AGENTE DE CURA, PROTETOR DA EVAPORACAO DA AGUA DE HIDRATACAO DO CONCRETO",KG,"1,6299805",REPRESENTADO,MATERIAL,NACIONAL CAIXA
123,43142,"SELANTE MONOCOMPONENTE A BASE DE SILICONE DE BAIXO MODULO, PARA JUNTAS DE PAVIMENTACAO",L,"21,7848394",REPRESENTADO,MATERIAL,NACIONAL CAIXA
123,43143,"SELANTE ACRILICO PARA TRATAMENTO / ACABAMENTO SUPERFICIAL DE CONCRETO ESTAMPADO, APARENTE, PEDRAS E OUTROS",L,"3,8391012",REPRESENTADO,MATERIAL,NACIONAL CAIXA
123,43144,DESMOLDANTE PARA CONCRETO ESTAMPADO,KG,"5,2263494",REPRESENTADO,MATERIAL,NACIONAL CAIXA
123,43146,ENDURECEDOR MINERAL DE BASE CIMENTICIA PARA PISO DE CONCRETO,KG,"1,2312169",REPRESENTADO,MATERIAL,NACIONAL CAIXA
123,43147,MEMBRANA IMPERMEABILIZANTE ACRILICA MONOCOMPONENTE,KG,"3,2220117",REPRESENTADO,MATERIAL,NACIONAL CAIXA
123,43148,MEMBRANA IMPERMEABILIZANTE A BASE DE POLIURETANO,KG,"8,3184048",REPRESENTADO,MATERIAL,NACIONAL CAIXA
123,43617,"ADITIVO PLASTIFICANTE E ESTABILIZADOR PARA ARGAMASSAS DE ASSENTAMENTO E REBOCO, LIQUIDO E ISENTO DE CLORETOS",L,"1,1082116",REPRESENTADO,MATERIAL,NACIONAL CAIXA
123,43618,"ADITIVO SUPERPLASTIFICANTE DE PEGA NORMAL PARA CONCRETO, LIQUIDO E ISENTO DE CLORETOS",KG,"2,5882768",REPRESENTADO,MATERIAL,NACIONAL CAIXA
183,181,"BATENTE/ PORTAL/ADUELA/ MARCO MACICO, E= *3* CM, L= *15* CM, *60 CM A 120* CM  X *210* CM,  EM CEDRINHO/ ANGELIM COMERCIAL/  EUCALIPTO/ CURUPIXA/ PEROBA/ CUMARU OU EQUIVALENTE DA REGIAO (NAO INCLUI ALIZARES)",JG,"1,0952381",REPRESENTADO,MATERIAL,NACIONAL CAIXA
183,183,"BATENTE/ PORTAL/ ADUELA/ MARCO MACICO, E= *3 CM, L= *13 CM, *60 CM A 120* CM X *210 CM,  EM CEDRINHO/ ANGELIM COMERCIAL/ EUCALIPTO/ CURUPIXA/ PEROBA/ CUMARU OU EQUIVALENTE DA REGIAO (NAO INCLUI ALIZARES)",JG,,REPRESENTATIVO,MATERIAL,NACIONAL CAIXA
183,184,"BATENTE/ PORTAL/ ADUELA/ MARCO MACICO, E= *3* CM, L= *13* CM, *60 CM A 120* CM X *210* CM, EM PINUS/ TAUARI/ VIROLA OU EQUIVALENTE DA REGIAO (NAO INCLUI ALIZARES)",JG,"0,6609524",REPRESENTADO,MATERIAL,NACIONAL CAIXA
183,195,"BATENTE/ PORTAL/ ADUELA/ MARCO MACICO, E= *3* CM, L= *7* CM, *60 CM A 120* CM X *210* CM,  EM CEDRINHO/ ANGELIM COMERCIAL/ EUCALIPTO/ CURUPIXA/ PEROBA/ CUMARU OU EQUIVALENTE DA REGIAO (NAO INCLUI ALIZARES)",JG,"0,8123810",REPRESENTADO,MATERIAL,NACIONAL CAIXA
183,20001,"BATENTE/ PORTAL/ ADUELA/MARCO MACICO, E= *3* CM, L= *15* CM, *60 CM A 120* CM  X *210* CM, EM PINUS/ TAUARI/ VIROLA OU EQUIVALENTE DA REGIAO",JG,"0,8095238",REPRESENTADO,MATERIAL,NACIONAL CAIXA
183,20007,"GUARNICAO/ ALIZAR/ VISTA MACICA, E= *1* CM, L= *4,5* CM, EM PINUS/ TAUARI/ VIROLA OU EQUIVALENTE DA REGIAO",M,"0,0232381",REPRESENTADO,MATERIAL,NACIONAL CAIXA
183,20017,"GUARNICAO/ ALIZAR/ VISTA MACICA, E= *1* CM, L= *4,5* CM, EM CEDRINHO/ ANGELIM COMERCIAL/  EUCALIPTO/ CURUPIXA/ PEROBA/ CUMARU OU EQUIVALENTE DA REGIAO",M,"0,0302857",REPRESENTADO,MATERIAL,NACIONAL CAIXA
253,245,AUXILIAR DE LABORATORISTA DE SOLOS E DE CONCRETO,H,"1,0940283",REPRESENTADO,MAO DE OBRA,NACIONAL CAIXA
253,253,ALMOXARIFE,H,,REPRESENTATIVO,MAO DE OBRA,NACIONAL CAIXA
253,2350,AUXILIAR DE ESCRITORIO,H,"0,8375559",REPRESENTADO,MAO DE OBRA,NACIONAL CAIXA
253,2354,LEITURISTA OU CADASTRISTA DE REDES DE AGUA E ESGOTO,H,"0,8418972",REPRESENTADO,MAO DE OBRA,NACIONAL CAIXA
253,6122,APONTADOR OU APROPRIADOR DE MAO DE OBRA,H,"1,2014624",REPRESENTADO,MAO DE OBRA,NACIONAL CAIXA
253,7153,TECNICO EM LABORATORIO E CAMPO DE CONSTRUCAO CIVIL,H,"1,7478063",REPRESENTADO,MAO DE OBRA,NACIONAL CAIXA
253,34392,AUXILIAR  DE ALMOXARIFE,H,"0,7662500",REPRESENTADO,MAO DE OBRA,NACIONAL CAIXA
253,40809,ALMOXARIFE (MENSALISTA),MES,"220,0000000",REPRESENTADO,MAO DE OBRA,NACIONAL CAIXA
253,40810,APONTADOR OU APROPRIADOR DE MAO DE OBRA (MENSALISTA),MES,"264,3217391",REPRESENTADO,MAO DE OBRA,NACIONAL CAIXA
253,40812,AUXILIAR DE ESCRITORIO (MENSALISTA),MES,"184,2623188",REPRESENTADO,MAO DE OBRA,NACIONAL CAIXA
253,40908,AUXILIAR DE ALMOXARIFE (MENSALISTA),MES,"168,5750000",REPRESENTADO,MAO DE OBRA,NACIONAL CAIXA
253,40932,LEITURISTA OU CADASTRISTA DE REDES DE AGUA E ESGOTO (MENSALISTA),MES,"185,2173913",REPRESENTADO,MAO DE OBRA,NACIONAL CAIXA
253,40943,TECNICO EM SEGURANCA DO TRABALHO,H,"1,4587088",REPRESENTADO,MAO DE OBRA,NACIONAL CAIXA
253,40944,TECNICO EM SEGURANCA DO TRABALHO (MENSALISTA),MES,"320,9159420",REPRESENTADO,MAO DE OBRA,NACIONAL CAIXA
253,41089,TECNICO EM LABORATORIO E CAMPO DE CONSTRUCAO CIVIL (MENSALISTA),MES,"384,5173913",REPRESENTADO,MAO DE OBRA,NACIONAL CAIXA
253,41090,AUXILIAR DE LABORATORISTA DE SOLOS E DE CONCRETO (MENSALISTA),MES,"240,6862318",REPRESENTADO,MAO DE OBRA,NACIONAL CAIXA
301,295,ANEL BORRACHA PARA TUBO ESGOTO PREDIAL DN 40 MM (NBR 5688),UN,"0,5454545",REPRESENTADO,MATERIAL,NACIONAL CAIXA
301,296,ANEL BORRACHA PARA TUBO ESGOTO PREDIAL DN 50 MM (NBR 5688),UN,"0,5656565",REPRESENTADO,MATERIAL,NACIONAL CAIXA
301,297,ANEL BORRACHA PARA TUBO ESGOTO PREDIAL DN 75 MM (NBR 5688),UN,"0,7979797",REPRESENTADO,MATERIAL,NACIONAL CAIXA
301,298,"ANEL BORRACHA DN 75 MM, PARA TUBO SERIE REFORCADA ESGOTO PREDIAL",UN,"0,9141414",REPRESENTADO,MATERIAL,NACIONAL CAIXA
301,299,"ANEL BORRACHA DN 100 MM, PARA TUBO SERIE REFORCADA ESGOTO PREDIAL",UN,"0,9090909",REPRESENTADO,MATERIAL,NACIONAL CAIXA
301,300,"ANEL BORRACHA, DN 150 MM, PARA TUBO SERIE REFORCADA ESGOTO PREDIAL",UN,"4,2020202",REPRESENTADO,MATERIAL,NACIONAL CAIXA
301,301,"ANEL BORRACHA PARA TUBO ESGOTO PREDIAL, DN 100 MM (NBR 5688)",UN,,REPRESENTATIVO,MATERIAL,NACIONAL CAIXA
301,303,"ANEL BORRACHA, PARA TUBO PVC, REDE COLETOR ESGOTO, DN 100 MM (NBR 7362)",UN,"1,3636363",REPRESENTADO,MATERIAL,NACIONAL CAIXA
301,305,"ANEL BORRACHA, PARA TUBO PVC, REDE COLETOR ESGOTO, DN 150 MM (NBR 7362)",UN,"3,5555555",REPRESENTADO,MATERIAL,NACIONAL CAIXA
301,306,"ANEL BORRACHA, PARA TUBO PVC, REDE COLETOR ESGOTO, DN 200 MM (NBR 7362)",UN,"4,2727272",REPRESENTADO,MATERIAL,NACIONAL CAIXA
301,307,"ANEL BORRACHA, PARA TUBO PVC, REDE COLETOR ESGOTO, DN 250 MM (NBR 7362)",UN,"8,4343434",REPRESENTADO,MATERIAL,NACIONAL CAIXA
301,308,"ANEL BORRACHA, PARA TUBO, PVC REDE COLETOR ESGOTO, DN 300 MM (NBR 7362)",UN,"11,2626262",REPRESENTADO,MATERIAL,NACIONAL CAIXA
301,309,"ANEL BORRACHA, PARA TUBO PVC, REDE COLETOR ESGOTO, DN 350 MM (NBR 7362)",UN,"17,2828282",REPRESENTADO,MATERIAL,NACIONAL CAIXA
301,310,"ANEL BORRACHA, PARA TUBO PVC, REDE COLETOR ESGOTO, DN 400 MM (NBR 7362)",UN,"21,9191919",REPRESENTADO,MATERIAL,NACIONAL CAIXA
301,311,"ANEL BORRACHA, PARA TUBO PVC DEFOFO, DN 100 MM (NBR 7665)",UN,"3,2525252",REPRESENTADO,MATERIAL,NACIONAL CAIXA
301,314,"ANEL BORRACHA, PARA TUBO PVC DEFOFO, DN 300 MM (NBR 7665)",UN,"52,5252525",REPRESENTADO,MATERIAL,NACIONAL CAIXA
301,318,"ANEL BORRACHA, PARA TUBO PVC DEFOFO, DN 150 MM (NBR 7665)",UN,"5,6969696",REPRESENTADO,MATERIAL,NACIONAL CAIXA
301,319,"ANEL BORRACHA, PARA TUBO PVC DEFOFO, DN 200 MM (NBR 7665)",UN,"10,7575757",REPRESENTADO,MATERIAL,NACIONAL CAIXA
301,320,"ANEL BORRACHA, PARA TUBO PVC DEFOFO, DN 250 MM (NBR 7665)",UN,"34,1969696",REPRESENTADO,MATERIAL,NACIONAL CAIXA
301,325,"ANEL BORRACHA, PARA TUBO/CONEXAO PVC PBA, DN 50 MM, PARA REDE AGUA",UN,"1,0151515",REPRESENTADO,MATERIAL,NACIONAL CAIXA
301,328,"ANEL BORRACHA, PARA TUBO/CONEXAO PVC PBA, DN 100 MM, PARA REDE AGUA",UN,"2,6161616",REPRESENTADO,MATERIAL,NACIONAL CAIXA
301,329,"ANEL BORRACHA, PARA TUBO/CONEXAO PVC PBA, DN 75 MM, PARA REDE AGUA",UN,"3,3434343",REPRESENTADO,MATERIAL,NACIONAL CAIXA
301,20084,"ANEL BORRACHA, DN 40 MM, PARA TUBO SERIE REFORCADA ESGOTO PREDIAL",UN,"0,5454545",REPRESENTADO,MATERIAL,NACIONAL CAIXA
301,20085,"ANEL BORRACHA, DN 50 MM, PARA TUBO SERIE REFORCADA ESGOTO PREDIAL",UN,"0,5050505",REPRESENTADO,MATERIAL,NACIONAL CAIXA
301,20326,"ANEL BORRACHA, PARA TUBO/CONEXAO PVC PBA, DN 60 MM, PARA REDE AGUA",UN,"2,7171717",REPRESENTADO,MATERIAL,NACIONAL CAIXA
301,39641,"ANEL DE BORRACHA PARA VEDACAO DE DUTO PEAD CORRUGADO PARA ELETRICA, DN 1 1/4""",UN,"0,4769231",REPRESENTADO,MATERIAL,NACIONAL CAIXA
301,39642,"ANEL DE BORRACHA PARA VEDACAO DE DUTO PEAD CORRUGADO PARA ELETRICA, DN 1 1/2""",UN,"0,6846154",REPRESENTADO,MATERIAL,NACIONAL CAIXA
301,39643,"ANEL DE BORRACHA PARA VEDACAO DE DUTO PEAD CORRUGADO PARA ELETRICA, DN 2""",UN,"1,9000000",REPRESENTADO,MATERIAL,NACIONAL CAIXA
301,39644,"ANEL DE BORRACHA PARA VEDACAO DE DUTO PEAD CORRUGADO PARA ELETRICA, DN 3""",UN,"2,4538462",REPRESENTADO,MATERIAL,NACIONAL CAIXA
301,39645,"ANEL DE BORRACHA PARA VEDACAO DE DUTO PEAD CORRUGADO PARA ELETRICA, DN 4""",UN,"3,1692308",REPRESENTADO,MATERIAL,NACIONAL CAIXA
301,40340,"ANEL DE VEDACAO/JUNTA ELASTICA, H = *16* MM, PARA TUBO DE CONCRETO DN 300 MM",UN,"26,4833333",REPRESENTADO,MATERIAL,NACIONAL CAIXA
301,40341,"ANEL DE VEDACAO/JUNTA ELASTICA, H = *16* MM, PARA TUBO DE CONCRETO DN 400 MM",UN,"31,3583333",REPRESENTADO,MATERIAL,NACIONAL CAIXA
301,40342,"ANEL DE VEDACAO/JUNTA ELASTICA, H = *16* MM, PARA TUBO DE CONCRETO DN 500 MM",UN,"39,7541667",REPRESENTADO,MATERIAL,NACIONAL CAIXA
301,40343,"ANEL DE VEDACAO/JUNTA ELASTICA, H = *16* MM, PARA TUBO DE CONCRETO DN 600 MM",UN,"48,7708333",REPRESENTADO,MATERIAL,NACIONAL CAIXA
301,40344,"ANEL DE VEDACAO/JUNTA ELASTICA, H = *18* MM, PARA TUBO DE CONCRETO DN 700 MM",UN,"51,5666667",REPRESENTADO,MATERIAL,NACIONAL CAIXA
301,40345,"ANEL DE VEDACAO/JUNTA ELASTICA, H = *19* MM, PARA TUBO DE CONCRETO DN 800 MM",UN,"64,3833333",REPRESENTADO,MATERIAL,NACIONAL CAIXA
301,40346,"ANEL DE VEDACAO/JUNTA ELASTICA, H = *19* MM, PARA TUBO DE CONCRETO DN 900 MM",UN,"60,5666667",REPRESENTADO,MATERIAL,NACIONAL CAIXA
301,40347,"ANEL DE VEDACAO/JUNTA ELASTICA, H = *21* MM, PARA TUBO DE CONCRETO DN 1000 MM",UN,"74,8875000",REPRESENTADO,MATERIAL,NACIONAL CAIXA
360,358,"MUDA DE ARVORE ORNAMENTAL, OITI/AROEIRA SALSA/ANGICO/IPE/JACARANDA OU EQUIVALENTE  DA REGIAO, H= *1* M",UN,"21,2643678",REPRESENTADO,MATERIAL,NACIONAL CAIXA
360,359,"MUDA DE ARVORE ORNAMENTAL, OITI/AROEIRA SALSA/ANGICO/IPE/JACARANDA OU EQUIVALENTE  DA REGIAO, H= *2* M",UN,"43,6781609",REPRESENTADO,MATERIAL,NACIONAL CAIXA
360,360,"MUDA DE RASTEIRA/FORRACAO, AMENDOIM RASTEIRO/ONZE HORAS/AZULZINHA/IMPATIENS OU EQUIVALENTE DA REGIAO",UN,,REPRESENTATIVO,MATERIAL,NACIONAL CAIXA
360,365,"MUDA DE ARBUSTO FOLHAGEM, SANSAO-DO-CAMPO OU EQUIVALENTE DA REGIAO, H= *50 A 70* CM",UN,"17,8160920",REPRESENTADO,MATERIAL,NACIONAL CAIXA
360,10826,"MUDA DE ARBUSTO FLORIFERO, CLUSIA/GARDENIA/MOREIA BRANCA/ AZALEIA OU EQUIVALENTE DA REGIAO, H= *50 A 70* CM",UN,"28,7356322",REPRESENTADO,MATERIAL,NACIONAL CAIXA
360,38639,"MUDA DE ARBUSTO, BUXINHO, H= *50* M",UN,"68,9655172",REPRESENTADO,MATERIAL,NACIONAL CAIXA
360,38640,"MUDA DE ARBUSTO, PINGO DE OURO/ VIOLETEIRA, H = *10 A 20* CM",UN,"1,0344828",REPRESENTADO,MATERIAL,NACIONAL CAIXA
360,38641,"MUDA DE PALMEIRA, ARECA, H= *1,50* CM",UN,"43,1034483",REPRESENTADO,MATERIAL,NACIONAL CAIXA
366,366,"AREIA FINA - POSTO JAZIDA/FORNECEDOR (RETIRADO NA JAZIDA, SEM TRANSPORTE)",M3,,REPRESENTATIVO,MATERIAL,NACIONAL CAIXA
367,367,"AREIA GROSSA - POSTO JAZIDA/FORNECEDOR (RETIRADO NA JAZIDA, SEM TRANSPORTE)",M3,,REPRESENTATIVO,MATERIAL,NACIONAL CAIXA
367,368,"AREIA PARA ATERRO - POSTO JAZIDA/FORNECEDOR (RETIRADO NA JAZIDA, SEM TRANSPORTE)",M3,"0,7500000",REPRESENTADO,MATERIAL,NACIONAL CAIXA
